App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
"Laftel - Watching and Announcing Snooping, Streaming",COMICS,4.6,4895,35M,"100,000+",Free,0,Everyone,Comics,2-Aug-18,2.4.25,4.4 and up
Messenger – Text and Video Chat for Free,COMMUNICATION,4,56642847,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,1-Aug-18,Varies with device,Varies with device
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,3-Aug-18,Varies with device,Varies with device
Messenger for SMS,COMMUNICATION,4.3,125257,17M,"10,000,000+",Free,0,Teen,Communication,6-Jun-18,1.8.9,4.1 and up
Google Chrome: Fast & Secure,COMMUNICATION,4.3,9642995,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,1-Aug-18,Varies with device,Varies with device
Messenger Lite: Free Calls & Messages,COMMUNICATION,4.4,1429035,Varies with device,"100,000,000+",Free,0,Everyone,Communication,25-Jul-18,37.0.0.7.163,2.3 and up
Gmail,COMMUNICATION,4.3,4604324,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,2-Aug-18,Varies with device,Varies with device
Hangouts,COMMUNICATION,4,3419249,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,21-Jul-18,Varies with device,Varies with device
Viber Messenger,COMMUNICATION,4.3,11334799,Varies with device,"500,000,000+",Free,0,Everyone,Communication,18-Jul-18,Varies with device,Varies with device
My Tele2,COMMUNICATION,4.3,158679,8.8M,"5,000,000+",Free,0,Everyone,Communication,3-Aug-18,2.4.1,4.4 and up
Firefox Browser fast & private,COMMUNICATION,4.4,3075028,Varies with device,"100,000,000+",Free,0,Everyone,Communication,10-Jul-18,Varies with device,Varies with device
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4187998,16M,"100,000,000+",Free,0,Everyone,Communication,18-Jul-18,5.29.3,4.4 and up
imo beta free calls and text,COMMUNICATION,4.3,659395,11M,"100,000,000+",Free,0,Everyone,Communication,7-Jun-18,9.8.000000010492,4.0 and up
imo free video calls and chat,COMMUNICATION,4.3,4785892,11M,"500,000,000+",Free,0,Everyone,Communication,8-Jun-18,9.8.000000010501,4.0 and up
Contacts,COMMUNICATION,4.3,66602,Varies with device,"50,000,000+",Free,0,Everyone,Communication,26-Jun-18,2.8.4.201036949,5.0 and up
Call Free – Free Call,COMMUNICATION,4.3,30209,15M,"5,000,000+",Free,0,Everyone,Communication,28-Jul-18,1.3.4,4.1 and up
Web Browser & Explorer,COMMUNICATION,4,36901,6.6M,"5,000,000+",Free,0,Everyone,Communication,4-Jul-18,11.8.6,4.0.3 - 7.1.1
Opera Mini - fast web browser,COMMUNICATION,4.5,5149854,Varies with device,"100,000,000+",Free,0,Everyone,Communication,19-Jul-18,Varies with device,Varies with device
Browser 4G,COMMUNICATION,4.3,192948,6.6M,"10,000,000+",Free,0,Everyone,Communication,19-Jun-18,24.6.6,4.0.3 - 7.1.1
MegaFon Dashboard,COMMUNICATION,3.7,99559,Varies with device,"10,000,000+",Free,0,Everyone,Communication,30-Jul-18,Varies with device,Varies with device
ZenUI Dialer & Contacts,COMMUNICATION,4.5,437674,Varies with device,"10,000,000+",Free,0,Everyone,Communication,1-Aug-18,Varies with device,Varies with device
Cricket Visual Voicemail,COMMUNICATION,3.9,13698,5.1M,"10,000,000+",Free,0,Everyone,Communication,2-Jul-18,3.2.0.100171,4.1 and up
Opera Browser: Fast and Secure,COMMUNICATION,4.4,2473509,Varies with device,"100,000,000+",Free,0,Everyone,Communication,31-Jul-18,47.1.2249.129326,Varies with device
TracFone My Account,COMMUNICATION,3.6,20769,18M,"1,000,000+",Free,0,Everyone,Communication,11-Jul-18,R6.0.3,4.1 and up
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4.0M,"1,000,000+",Free,0,Everyone,Communication,6-Jul-18,5.2,5.0 and up
Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",Free,0,Everyone,Communication,3-Aug-18,Varies with device,Varies with device
Chrome Dev,COMMUNICATION,4.4,63543,Varies with device,"5,000,000+",Free,0,Everyone,Communication,2-Aug-18,69.0.3497.24,Varies with device
Xperia Link™,COMMUNICATION,4.1,45487,Varies with device,"10,000,000+",Free,0,Everyone,Communication,27-Oct-16,Varies with device,Varies with device
TouchPal Keyboard - Fun Emoji & Android Keyboard,COMMUNICATION,4.4,615381,37M,"10,000,000+",Free,0,Mature 17+,Communication,2-Aug-18,6.7.9.1,4.0.3 and up
Who,COMMUNICATION,4.3,2451083,Varies with device,"100,000,000+",Free,0,Teen,Communication,3-Aug-18,Varies with device,Varies with device
Skype Lite - Free Video Call & Chat,COMMUNICATION,4.2,33053,22M,"5,000,000+",Free,0,Everyone,Communication,31-Jul-18,1.60.0.31354-release,4.0.3 and up
WeChat,COMMUNICATION,4.2,5387333,Varies with device,"100,000,000+",Free,0,Everyone,Communication,31-Jul-18,Varies with device,Varies with device
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648120,3.3M,"100,000,000+",Free,0,Teen,Communication,18-Jul-18,11.4.0,4.0 and up
WhatsApp Business,COMMUNICATION,4.4,136662,32M,"10,000,000+",Free,0,Everyone,Communication,30-Jul-18,2.18.116,4.0.3 and up
My magenta,COMMUNICATION,3.9,42370,37M,"1,000,000+",Free,0,Everyone,Communication,25-Jun-18,7.5.1,5.0 and up
Android Messages,COMMUNICATION,4.2,781810,Varies with device,"100,000,000+",Free,0,Everyone,Communication,1-Aug-18,Varies with device,Varies with device
Telegram,COMMUNICATION,4.4,3128250,Varies with device,"100,000,000+",Free,0,Mature 17+,Communication,27-Jul-18,Varies with device,Varies with device
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,Varies with device,"500,000,000+",Free,0,Everyone,Communication,31-Jul-18,37.1.206017801.DR37_RC14,4.4 and up
Puffin Web Browser,COMMUNICATION,4.3,541389,Varies with device,"10,000,000+",Free,0,Everyone,Communication,9-Jul-18,7.5.3.20547,4.1 and up
Seznam.cz,COMMUNICATION,4.3,46702,Varies with device,"1,000,000+",Free,0,Everyone,Communication,4-Jul-18,Varies with device,Varies with device
Antillean Gold Telegram (original version),COMMUNICATION,4.4,2939,17M,"100,000+",Free,0,Everyone,Communication,16-Jul-18,2.1,4.1 and up
AT&T Visual Voicemail,COMMUNICATION,3.7,13761,Varies with device,"10,000,000+",Free,0,Everyone,Communication,27-Jun-18,Varies with device,Varies with device
GMX Mail,COMMUNICATION,4.3,258556,Varies with device,"10,000,000+",Free,0,Everyone,Communication,25-Jul-18,Varies with device,Varies with device
Omlet Chat,COMMUNICATION,3.9,40751,35M,"10,000,000+",Free,0,Teen,Communication,4-Nov-16,2.2.7600,4.0.3 and up
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17712922,40M,"500,000,000+",Free,0,Teen,Communication,2-Aug-18,12.8.5.1121,4.0 and up
My Vodacom SA,COMMUNICATION,3.7,25021,61M,"5,000,000+",Free,0,Everyone,Communication,26-Jun-18,9.9.0,4.3 and up
Microsoft Edge,COMMUNICATION,4.3,27187,66M,"5,000,000+",Free,0,Everyone,Communication,28-Jul-18,42.0.0.2059,4.4 and up
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,3-Aug-18,Varies with device,Varies with device
Messenger – Text and Video Chat for Free,COMMUNICATION,4,56646578,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,1-Aug-18,Varies with device,Varies with device
imo free video calls and chat,COMMUNICATION,4.3,4785988,11M,"500,000,000+",Free,0,Everyone,Communication,8-Jun-18,9.8.000000010501,4.0 and up
Hangouts Dialer - Call Phones,COMMUNICATION,4,122498,79k,"10,000,000+",Free,0,Everyone,Communication,2-Sep-15,0.1.100944346,4.0.3 and up
Viber Messenger,COMMUNICATION,4.3,11334973,Varies with device,"500,000,000+",Free,0,Everyone,Communication,18-Jul-18,Varies with device,Varies with device
Hangouts,COMMUNICATION,4,3419433,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,21-Jul-18,Varies with device,Varies with device
"Talkatone: Free Texts, Calls & Phone Number",COMMUNICATION,4.1,132014,25M,"10,000,000+",Free,0,Everyone,Communication,18-Jul-18,6.1,4.2 and up
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",Free,0,Everyone,Communication,19-Apr-18,3.0.4,4.0 and up
free video calls and chat,COMMUNICATION,4.2,594728,Varies with device,"50,000,000+",Free,0,Everyone,Communication,19-Jul-18,7.3(800241),4.4 and up
WeChat,COMMUNICATION,4.2,5387446,Varies with device,"100,000,000+",Free,0,Everyone,Communication,31-Jul-18,Varies with device,Varies with device
Skype - free IM & video calls,COMMUNICATION,4.1,10484169,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,3-Aug-18,Varies with device,Varies with device
Telegram,COMMUNICATION,4.4,3128509,Varies with device,"100,000,000+",Free,0,Mature 17+,Communication,27-Jul-18,Varies with device,Varies with device
Who,COMMUNICATION,4.3,2451093,Varies with device,"100,000,000+",Free,0,Teen,Communication,3-Aug-18,Varies with device,Varies with device
Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",Free,0,Everyone,Communication,3-Aug-18,Varies with device,Varies with device
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24M,"100,000,000+",Free,0,Everyone,Communication,1-Aug-18,7.73,4.0 and up
Android Messages,COMMUNICATION,4.2,781810,Varies with device,"100,000,000+",Free,0,Everyone,Communication,1-Aug-18,Varies with device,Varies with device
"Messaging+ SMS, MMS Free",COMMUNICATION,4.1,28238,17M,"1,000,000+",Free,0,Everyone,Communication,2-Aug-18,4.98,2.3 and up
chomp SMS,COMMUNICATION,4.3,335646,8.3M,"10,000,000+",Free,0,Everyone,Communication,26-Jul-18,7.21,2.3 and up
Glide - Video Chat Messenger,COMMUNICATION,4.3,350154,Varies with device,"10,000,000+",Free,0,Everyone,Communication,29-Jul-18,Varies with device,Varies with device
Text SMS,COMMUNICATION,4.5,349384,8.2M,"10,000,000+",Free,0,Everyone,Communication,24-Jul-18,3.47,4.0.3 and up
Google Allo,COMMUNICATION,4.3,346982,Varies with device,"10,000,000+",Free,0,Everyone,Communication,23-Jan-18,Varies with device,4.1 and up
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,Varies with device,"10,000,000+",Free,0,Everyone,Communication,29-May-18,Varies with device,Varies with device
LINE: Free Calls & Messages,COMMUNICATION,4.2,10790289,Varies with device,"500,000,000+",Free,0,Everyone,Communication,26-Jul-18,Varies with device,Varies with device
GroupMe,COMMUNICATION,4.5,330761,Varies with device,"10,000,000+",Free,0,Everyone,Communication,3-Jul-18,Varies with device,Varies with device
mysms SMS Text Messaging Sync,COMMUNICATION,4.3,37320,8.4M,"1,000,000+",Free,0,Everyone,Communication,30-Jul-18,6.5.1,4.0.3 and up
BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860,Varies with device,"100,000,000+",Free,0,Everyone,Communication,2-Aug-18,Varies with device,4.0.3 and up
KakaoTalk: Free Calls & Text,COMMUNICATION,4.3,2546527,Varies with device,"100,000,000+",Free,0,Everyone,Communication,3-Aug-18,Varies with device,Varies with device
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893,4.0M,"1,000,000+",Free,0,Everyone,Communication,6-Jul-18,5.2,5.0 and up
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32M,"1,000,000+",Free,0,Everyone,Communication,3-Aug-18,5.65.0,4.0 and up
Google Allo,COMMUNICATION,4.3,346980,Varies with device,"10,000,000+",Free,0,Everyone,Communication,23-Jan-18,Varies with device,4.1 and up
Google Chrome: Fast & Secure,COMMUNICATION,4.3,9643041,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,1-Aug-18,Varies with device,Varies with device
Firefox Browser fast & private,COMMUNICATION,4.4,3075118,Varies with device,"100,000,000+",Free,0,Everyone,Communication,10-Jul-18,Varies with device,Varies with device
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916,6.1M,"50,000,000+",Free,0,Everyone,Communication,31-Jul-18,5.22.18.0006,4.0 and up
Puffin Web Browser,COMMUNICATION,4.3,541389,Varies with device,"10,000,000+",Free,0,Everyone,Communication,9-Jul-18,7.5.3.20547,4.1 and up
Opera Browser: Fast and Secure,COMMUNICATION,4.4,2473693,Varies with device,"100,000,000+",Free,0,Everyone,Communication,31-Jul-18,47.1.2249.129326,Varies with device
Ninesky Browser,COMMUNICATION,4.2,42925,2.8M,"1,000,000+",Free,0,Everyone,Communication,27-Aug-17,6.1,2.3 and up
Opera Mini - fast web browser,COMMUNICATION,4.5,5150471,Varies with device,"100,000,000+",Free,0,Everyone,Communication,19-Jul-18,Varies with device,Varies with device
"Dolphin Browser - Fast, Private & Adblock🐬",COMMUNICATION,4.5,2511130,Varies with device,"50,000,000+",Free,0,Everyone,Communication,2-Jul-18,Varies with device,Varies with device
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648480,3.3M,"100,000,000+",Free,0,Teen,Communication,18-Jul-18,11.4.0,4.0 and up
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17714850,40M,"500,000,000+",Free,0,Teen,Communication,2-Aug-18,12.8.5.1121,4.0 and up
Ghostery Privacy Browser,COMMUNICATION,4.1,13100,2.2M,"1,000,000+",Free,0,Everyone,Communication,20-Mar-18,1.4.1.0,4.0.3 and up
InBrowser - Incognito Browsing,COMMUNICATION,4.2,27156,Varies with device,"1,000,000+",Free,0,Everyone,Communication,31-May-18,Varies with device,Varies with device
Web Browser for Android,COMMUNICATION,4.1,55098,4.3M,"1,000,000+",Free,0,Everyone,Communication,20-Jun-18,2.2,4.0 and up
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501,4.7M,"10,000,000+",Free,0,Everyone,Communication,1-Apr-16,6.4.0.4,4.0 and up
Lightning Web Browser,COMMUNICATION,4.1,12578,2.3M,"500,000+",Free,0,Everyone,Communication,10-Jul-17,4.5.1,4.0 and up
Web Browser,COMMUNICATION,4.2,10965,2.3M,"500,000+",Free,0,Everyone,Communication,2-Feb-15,2,3.0 and up
Puffin Browser Pro,COMMUNICATION,4,18247,Varies with device,"100,000+",Paid,0,Everyone,Communication,5-Jul-18,7.5.3.20547,4.1 and up
Contacts+,COMMUNICATION,4.2,190613,11M,"10,000,000+",Free,0,Everyone,Communication,31-Jul-18,5.85.1,4.0.3 and up
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7M,"10,000,000+",Paid,$4 ,Everyone,Communication,5-Mar-17,196,2.1 and up
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",Free,0,Everyone,Communication,19-Apr-18,3.0.4,4.0 and up
Viber Messenger,COMMUNICATION,4.3,11334973,Varies with device,"500,000,000+",Free,0,Everyone,Communication,18-Jul-18,Varies with device,Varies with device
PHONE for Google Voice & GTalk,COMMUNICATION,4.3,72065,13M,"1,000,000+",Free,0,Everyone,Communication,18-Apr-18,3.0.7,4.0 and up
Safest Call Blocker,COMMUNICATION,4.4,27540,3.7M,"1,000,000+",Free,0,Everyone,Communication,5-Jan-18,1.26.001,4.0 and up
Full Screen Caller ID,COMMUNICATION,4.2,104990,10M,"5,000,000+",Free,0,Everyone,Communication,15-May-18,3.5.0,4.0.3 and up
Hiya - Caller ID & Block,COMMUNICATION,4.4,177703,13M,"10,000,000+",Free,0,Mature 17+,Communication,25-Jul-18,8.1.2-6310,5.0 and up
Call Blocker,COMMUNICATION,4.1,17529,10M,"1,000,000+",Free,0,Everyone,Communication,26-Jul-18,5.86,4.0.3 and up
Mr. Number-Block calls & spam,COMMUNICATION,4.2,177263,13M,"10,000,000+",Free,0,Mature 17+,Communication,13-Jul-18,5.1.2-6310,5.0 and up
Should I Answer?,COMMUNICATION,4.8,237468,8.8M,"1,000,000+",Free,0,Everyone,Communication,26-Jul-18,2018.1.715,4.0 and up
RocketDial Dialer & Contacts,COMMUNICATION,4.4,32254,5.5M,"1,000,000+",Free,0,Everyone,Communication,4-Dec-17,3.9.7,2.1 and up
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565,20M,"10,000,000+",Free,0,Everyone,Communication,29-Jul-18,1.286,4.1 and up
Whoscall - Caller ID & Block,COMMUNICATION,4.4,552441,29M,"10,000,000+",Free,0,Everyone,Communication,1-Aug-18,6.19.1,4.1 and up
CIA - Caller ID & Call Blocker,COMMUNICATION,4,60308,Varies with device,"5,000,000+",Free,0,Everyone,Communication,22-Jun-18,Varies with device,Varies with device
Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283,Varies with device,"10,000,000+",Free,0,Everyone,Communication,24-May-18,Varies with device,Varies with device
Call Control - Call Blocker,COMMUNICATION,4.4,93825,11M,"5,000,000+",Free,0,Everyone,Communication,5-Jul-18,2.17.3,4.1 and up
True Contact - Real Caller ID,COMMUNICATION,4.1,32283,Varies with device,"1,000,000+",Free,0,Everyone,Communication,26-Jul-18,Varies with device,Varies with device
Video Caller Id,COMMUNICATION,4.2,15287,17M,"1,000,000+",Free,0,Everyone,Communication,24-Jan-18,2.2.245,4.0.3 and up
Sync.ME – Caller ID & Block,COMMUNICATION,4.5,205739,17M,"5,000,000+",Free,0,Everyone,Communication,26-Jul-18,4.5.4,4.1 and up
Burner - Free Phone Number,COMMUNICATION,4.3,14873,Varies with device,"1,000,000+",Free,0,Everyone,Communication,12-Jul-18,Varies with device,Varies with device
"Truecaller: Caller ID, SMS spam blocking & Dialer",COMMUNICATION,4.5,7820209,Varies with device,"100,000,000+",Free,0,Everyone,Communication,1-Aug-18,Varies with device,Varies with device
Caller ID +,COMMUNICATION,4,9498,118k,"1,000,000+",Free,0,Everyone,Communication,7-Jun-16,5.28.0,2.3 and up
Gmail,COMMUNICATION,4.3,4604483,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,2-Aug-18,Varies with device,Varies with device
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4188142,16M,"100,000,000+",Free,0,Everyone,Communication,18-Jul-18,5.29.3,4.4 and up
K-9 Mail,COMMUNICATION,4.2,88427,5.1M,"5,000,000+",Free,0,Everyone,Communication,6-Jan-18,5.403,4.0.3 and up
"myMail – Email for Hotmail, Gmail and Outlook Mail",COMMUNICATION,4.5,305218,Varies with device,"10,000,000+",Free,0,Everyone,Communication,3-Aug-18,Varies with device,Varies with device
Email TypeApp - Mail App,COMMUNICATION,4.6,183374,44M,"1,000,000+",Free,0,Everyone,Communication,1-Aug-18,1.9.4.74,4.1 and up
All Email Providers,COMMUNICATION,4.1,20901,7.3M,"1,000,000+",Free,0,Everyone,Communication,3-Apr-18,5.0.9,4.1 and up
"Newton Mail - Email App for Gmail, Outlook, IMAP",COMMUNICATION,4,122595,30M,"1,000,000+",Free,0,Everyone,Communication,19-Jul-18,9.8.376,5.0 and up
GO Notifier,COMMUNICATION,4.2,124346,695k,"10,000,000+",Free,0,Everyone,Communication,6-Jul-14,2.8,2.0 and up
Mail.Ru - Email App,COMMUNICATION,4.6,837842,Varies with device,"50,000,000+",Free,0,Everyone,Communication,3-Aug-18,Varies with device,Varies with device
Mail1Click - Secure Mail,COMMUNICATION,4.1,255,1.6M,"10,000+",Free,0,Everyone,Communication,11-Apr-17,2.3,2.2 and up
Daum Mail - Next Mail,COMMUNICATION,4.3,41420,19M,"5,000,000+",Free,0,Everyone,Communication,21-Jun-18,3.2.0,4.0 and up
mail.com mail,COMMUNICATION,4.2,44706,Varies with device,"1,000,000+",Free,0,Everyone,Communication,25-Jul-18,Varies with device,Varies with device
SolMail - All-in-One email app,COMMUNICATION,4.3,23707,Varies with device,"500,000+",Paid,$20 ,Everyone,Communication,9-Aug-17,2.3.17,Varies with device
Hangouts,COMMUNICATION,4,3419513,Varies with device,"1,000,000,000+",Paid,$20 ,Everyone,Communication,21-Jul-18,Varies with device,Varies with device
imo free video calls and chat,COMMUNICATION,4.3,4785988,11M,"500,000,000+",Paid,$20 ,Everyone,Communication,8-Jun-18,9.8.000000010501,4.0 and up
free video calls and chat,COMMUNICATION,4.2,594728,Varies with device,"50,000,000+",Paid,$20 ,Everyone,Communication,19-Jul-18,7.3(800241),4.4 and up
Viber Messenger,COMMUNICATION,4.3,11335255,Varies with device,"500,000,000+",Paid,$20 ,Everyone,Communication,18-Jul-18,Varies with device,Varies with device
Skype - free IM & video calls,COMMUNICATION,4.1,10484169,Varies with device,"1,000,000,000+",Paid,$20 ,Everyone,Communication,3-Aug-18,Varies with device,Varies with device
WeChat,COMMUNICATION,4.2,5387446,Varies with device,"100,000,000+",Paid,$20 ,Everyone,Communication,31-Jul-18,Varies with device,Varies with device
Vonage Mobile® Call Video Text,COMMUNICATION,4.1,29208,23M,"1,000,000+",Free,0,Everyone,Communication,28-Sep-16,2.9.8,2.3.3 and up
JusTalk - Free Video Calls and Fun Video Chat,COMMUNICATION,4.6,191032,26M,"5,000,000+",Free,0,Everyone,Communication,4-Aug-18,7.2.29,4.0.3 and up
Glide - Video Chat Messenger,COMMUNICATION,4.3,350154,Varies with device,"10,000,000+",Free,0,Everyone,Communication,29-Jul-18,Varies with device,Varies with device
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,Varies with device,"10,000,000+",Free,0,Everyone,Communication,29-May-18,Varies with device,Varies with device
LINE: Free Calls & Messages,COMMUNICATION,4.2,10790289,Varies with device,"500,000,000+",Free,0,Everyone,Communication,26-Jul-18,Varies with device,Varies with device
KakaoTalk: Free Calls & Text,COMMUNICATION,4.3,2546527,Varies with device,"100,000,000+",Free,0,Everyone,Communication,3-Aug-18,Varies with device,Varies with device
"Moco+ - Chat, Meet People",DATING,4.2,1545,Varies with device,"10,000+",Paid,0,Mature 17+,Dating,19-Jun-18,2.6.139,4.1 and up
Calculator,DATING,2.6,57,6.2M,"1,000+",Paid,0,Everyone,Dating,25-Oct-17,1.1.6,4.0 and up
Truth or Dare Pro,DATING,NaN,0,20M,50+,Paid,0,Teen,Dating,1-Sep-17,1,4.0 and up
"Private Dating, Hide App- Blue for PrivacyHider",DATING,NaN,0,18k,100+,Paid,0,Everyone,Dating,25-Jul-17,1.0.1,4.0 and up
Ad Blocker for SayHi,DATING,NaN,4,1.2M,100+,Paid,0,Teen,Dating,2-Aug-18,1.2,4.0.3 and up
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17M,100+,Paid,0,Mature 17+,Dating,21-Jan-17,1.0.1,4.0 and up
Zoosk Dating App: Meet Singles,DATING,4,516801,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,2-Aug-18,Varies with device,Varies with device
OkCupid Dating,DATING,4.1,285726,15M,"10,000,000+",Free,0,Mature 17+,Dating,30-Jul-18,11.10.1,4.1 and up
Match™ Dating - Meet Singles,DATING,3.7,76646,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,23-Jul-18,Varies with device,Varies with device
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",Free,0,Mature 17+,Dating,1-Aug-18,2.5.2,4.1 and up
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",Free,0,Mature 17+,Dating,3-Aug-18,6.1.3,5.0 and up
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,"5,000,000+",Free,0,Mature 17+,Dating,31-Jul-18,4.17.2,4.1 and up
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",Free,0,Mature 17+,Dating,27-Jul-18,3.5.0.1,4.1 and up
"Moco - Chat, Meet People",DATING,4.2,313724,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,4-Aug-18,2.6.141,4.1 and up
CMB Free Dating App,DATING,4,48845,40M,"1,000,000+",Free,0,Mature 17+,Dating,1-Aug-18,4.19.0.2320,4.4 and up
Hot or Not - Find someone right now,DATING,4.1,305708,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,2-Aug-18,Varies with device,Varies with device
eharmony - Online Dating App,DATING,3.1,31320,53M,"5,000,000+",Free,0,Mature 17+,Dating,30-Jul-18,6.6.5,4.1 and up
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1M,"5,000,000+",Free,0,Mature 17+,Dating,4-Aug-18,1.639,4.0 and up
"Chispa, the Dating App for Latino, Latina Singles",DATING,4.2,4195,24M,"100,000+",Free,0,Mature 17+,Dating,25-Jul-18,1.6.1,4.4 and up
Clover Dating App,DATING,4.1,11633,23M,"500,000+",Free,0,Mature 17+,Dating,24-Jul-18,2.5.1,4.1 and up
Black People Meet Singles Date,DATING,3.9,10212,5.0M,"1,000,000+",Free,0,Mature 17+,Dating,25-Jul-18,1.9.7,4.4 and up
Mingle2 - Free Online Dating & Singles Chat Rooms,DATING,4.3,37053,44M,"1,000,000+",Free,0,Mature 17+,Dating,3-Aug-18,4.4B,4.1 and up
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,"10,000+",Free,0,Mature 17+,Dating,3-Aug-18,1.308.us,4.1 and up
stranger chat - anonymous chat,DATING,3.5,13202,6.1M,"1,000,000+",Free,0,Mature 17+,Dating,7-Jul-18,2.4.1,4.1 and up
"Blendr - Chat, Flirt & Meet",DATING,4,28671,Varies with device,"1,000,000+",Free,0,Mature 17+,Dating,1-Aug-18,Varies with device,Varies with device
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",Free,0,Mature 17+,Dating,27-Jan-17,5.0.1,4.2 and up
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",Free,0,Mature 17+,Dating,31-Jul-18,4.17.2,4.1 and up
Once - Quality Matches Every day,DATING,4.4,222888,21M,"1,000,000+",Free,0,Mature 17+,Dating,17-Jul-18,2.45,4.1 and up
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24M,"100,000+",Free,0,Mature 17+,Dating,25-Jul-18,1.6.1,4.4 and up
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643,31M,"500,000+",Free,0,Mature 17+,Dating,3-Jul-18,4.5.5,4.1 and up
Howlr,DATING,3.9,105,27M,"5,000+",Free,0,Mature 17+,Dating,19-Jun-18,1.0.4,4.4 and up
Stranger Chat & Date,DATING,3.6,3414,6.2M,"500,000+",Free,0,Mature 17+,Dating,6-Jun-18,1.2.1,4.1 and up
Free Dating & Flirt Chat - Choice of Love,DATING,4,42194,Varies with device,"5,000,000+",Free,0,Mature 17+,Dating,24-Jul-18,Varies with device,Varies with device
RandoChat - Chat roulette,DATING,3.6,11806,12M,"1,000,000+",Free,0,Mature 17+,Dating,26-Jun-18,4.0.18,4.0.3 and up
BeWild Free Dating & Chat App,DATING,3.4,1999,8.0M,"100,000+",Free,0,Mature 17+,Dating,3-Feb-17,1.6.5,4.2 and up
"FastMeet: Chat, Dating, Love",DATING,4.2,22544,5.9M,"1,000,000+",Free,0,Mature 17+,Dating,27-Jul-18,1.31.4,4.0.3 and up
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,10-Jul-18,1.23,4.0.3 and up
OurTime Dating for Singles 50+,DATING,3.4,2519,5.0M,"100,000+",Free,0,Mature 17+,Dating,25-Jul-18,1.9.7,4.4 and up
FarmersOnly Dating,DATING,3,1146,1.4M,"100,000+",Free,0,Mature 17+,Dating,25-Feb-16,2.2,4.0 and up
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046,13M,"500,000+",Free,0,Mature 17+,Dating,31-Jul-18,4.17.2,4.1 and up
